CITYNAME,ID,CityID,AREA1975,AREA1990,AREA2000,AREA2015,ERROR,FIRST_AREA_ID,YEAR_GAP,FIRIST_AREA,GROWTH,GROWTH_Year,萌芽,佝偻,成长,发育,成熟,衰退,区域,TYPE,萌芽,佝偻,成长,发育,成熟,衰退,区域
Murmansk,0,1,54,58,56,50,0,3,40,54,-7.41%,-0.19%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadym,1,2,6,6,6,10,0,3,40,6,66.67%,1.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ostrobothnia,2,3,19,0,27,31,0,3,40,19,63.16%,1.58%,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
Primorskiy rayon,3,4,31,30,30,28,0,3,40,31,-9.68%,-0.24%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangel'sk,4,5,35,60,47,24,0,3,40,35,-31.43%,-0.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purovskiy rayon,5,6,0,6,12,11,0,2,25,6,83.33%,3.33%,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Garðabær,6,7,30,37,39,44,0,3,40,30,46.67%,1.17%,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Sosnogorskiy rayon,7,8,23,23,22,16,0,3,40,23,-30.43%,-0.76%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melhus,8,9,0,0,0,12,0,0,1,12,0.00%,0.00%,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
North Savonia,9,10,0,0,17,21,0,1,15,17,23.53%,1.57%,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
Central Finland,10,11,14,16,18,17,0,3,40,14,21.43%,0.54%,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0
Yakutsk gorsovet,11,12,16,55,58,56,0,3,40,16,250.00%,6.25%,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
Petrozavodsk,12,13,45,46,46,47,0,3,40,45,4.44%,0.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syktyvdinskiy rayon,13,14,39,39,37,31,0,3,40,39,-20.51%,-0.51%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirkanmaa,14,15,20,24,25,28,0,3,40,20,40.00%,1.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovetskiy rayon,15,16,9,15,21,23,0,3,40,9,155.56%,3.89%,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
Sovetskiy rayon,16,17,12,13,17,21,0,3,40,12,75.00%,1.88%,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
Surgutskiy rayon,17,18,27,42,42,41,0,3,40,27,51.85%,1.30%,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Anchorage,18,19,0,0,0,24,0,0,1,24,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nefteyuganskiy rayon,19,20,0,21,21,22,0,2,25,21,4.76%,0.19%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khanty-Mansiyskiy rayon,20,21,0,12,0,14,0,2,25,12,16.67%,0.67%,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Nizhnevartovskiy rayon,21,22,30,35,35,37,0,3,40,30,23.33%,0.58%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland Proper,22,23,25,25,36,41,0,3,40,25,64.00%,1.60%,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Bergen,23,24,0,0,0,32,0,0,1,32,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helsinki,24,25,90,164,221,264,0,3,40,90,193.33%,4.83%,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
Bærum,25,26,94,138,150,170,0,3,40,94,80.85%,2.02%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uppsala,26,27,24,26,29,39,0,3,40,24,62.50%,1.56%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pertersburg,27,28,446,486,504,569,0,3,40,446,27.58%,0.69%,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7
Sankt-Peterburg gorsovet,28,29,16,17,19,22,0,3,40,16,37.50%,0.94%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Västerås,29,30,28,34,35,37,0,3,40,28,32.14%,0.80%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serov gorsovet,30,31,24,25,22,21,0,3,40,24,-12.50%,-0.31%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magadan gorsovet,31,32,19,19,18,18,0,3,40,19,-5.26%,-0.13%,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0
Berezniki gorsovet,32,33,37,36,36,36,0,3,40,37,-2.70%,-0.07%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rae,33,34,0,64,84,87,0,2,25,64,35.94%,1.44%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Örebro,34,35,25,26,27,29,0,3,40,25,16.00%,0.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockholm,35,36,178,200,231,311,0,3,40,178,74.72%,1.87%,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Vologda,36,37,59,69,69,71,0,3,40,59,20.34%,0.51%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Cherepovetskiy rayon,37,38,54,60,55,54,0,3,40,54,0.00%,0.00%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Sandnes,38,39,0,21,21,40,0,2,25,21,90.48%,3.62%,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
Norrköping,39,40,24,25,25,27,0,3,40,24,12.50%,0.31%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirov gorsovet,40,41,75,79,77,74,0,3,40,75,-1.33%,-0.03%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Novgorodskiy rayon,41,42,43,37,37,38,0,3,40,43,-11.63%,-0.29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linköping,42,43,0,24,25,28,0,2,25,24,16.67%,0.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ülenurme,43,44,0,0,27,28,0,1,15,27,3.70%,0.25%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glazov,44,45,23,25,26,25,0,3,40,23,8.70%,0.22%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristiansand,45,46,0,0,0,17,0,0,1,17,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chusovskiy rayon,46,47,0,11,11,11,0,2,25,11,0.00%,0.00%,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Perm' gorsovet,47,48,29,26,26,25,0,3,40,29,-13.79%,-0.34%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nizhniy Tagil gorod,48,49,96,99,96,98,0,3,40,96,2.08%,0.05%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Perm' gorsovet,49,50,34,113,125,148,0,3,40,34,335.29%,8.38%,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
Pskov,50,51,44,53,51,47,0,3,40,44,6.82%,0.17%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostroma,51,52,62,70,66,58,0,3,40,62,-6.45%,-0.16%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Goteborg,52,53,106,115,137,151,0,3,40,106,42.45%,1.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaroslavl',53,54,135,130,131,131,0,3,40,135,-2.96%,-0.07%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Nev'yanskiy rayon,54,55,19,22,20,15,0,3,40,19,-21.05%,-0.53%,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0
Aberdeenshire,55,56,46,49,49,51,0,3,40,46,10.87%,0.27%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Tyumen',56,57,79,94,101,101,0,3,40,79,27.85%,0.70%,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Votkinsk,57,58,21,25,25,24,0,3,40,21,14.29%,0.36%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
