,Unnamed: 0,CityID,type,Area,GROWTH,BA2015,BA2000,BA1990,BA1975,1990常住人口,1990生产总值,1990财政收入,1990财政支出,1990全社会固定资产投资总额,1990社会消费品零售总额,1990进出口总额,1990工业总产值,1990客运量,1990货运量,1990总消费支出,1990就业人数,1990总家庭可支配收入,2000常住人口,2000生产总值,2000财政收入,2000财政支出,2000全社会固定资产投资总额,2000社会消费品零售总额,2000进出口总额,2000工业总产值,2000客运量,2000货运量,2000总消费支出,2000就业人数,2000总家庭可支配收入,2015常住人口,2015生产总值,2015财政收入,2015财政支出,2015全社会固定资产投资总额,2015社会消费品零售总额,2015进出口总额,2015工业总产值,2015客运量,2015货运量,2015总消费支出,2015就业人数,2015总家庭可支配收入
0,0,2544,5,43.708708,0.00%,23.15517599,0.0,0.0,0.0,0.353522475,0.048169128,0.002866408,0.003816437,0.009318226,0.018870271,0.000182849,0.010630549,2.656741346,2.357398361,7.569180191,0.196632145,6.439612237,0.687770385,0.375985974,0.018792204,0.016502051,0.192966533,0.160873903,0.0073227219999999985,0.111631922,7.598654957000001,5.4781912770000005,34.27642874,0.458272923,38.00938954,5.160295306,21.0146646,3.179860802,3.108989414,24.5346073,8.079640755,0.7814536609999999,7.462567437000001,155.1123144,109.2244351,760.2705402,4.636445967,1191.927453
1,1,2604,8,60.18711637,-33.33%,43.57727023,45.76928429,42.8288135,1.20976865,9.224023398,1.289539361,0.116908788,0.097138289,0.278949169,0.482605878,0.001159945,0.0,36.06687544,69.40245075,202.634182,10.19403529,219.1758601,10.05690774,6.914096022000001,0.534010986,0.387045778,2.829209275,2.077818796,0.036905095,5.232909398,81.39180048,108.4737862,556.7649839,10.72176237,698.0754368,11.28990371,58.38527553,8.990218257999999,8.258190867,46.82034024,25.88380811,0.594031997,134.06864040000002,171.8673006,399.5750114,1802.507153,11.52147459,2732.5144800000007
2,2,2615,0,126.264079,60.00%,82.84481229,68.43753213,62.04887708,47.59639669,13.31985305,1.814893692,0.107999164,0.143793906,0.351087715,0.710985179,0.006889296,0.400532799,100.0994471,88.82094332,285.1880004,7.408613186,242.6286719,14.20914756,7.767767134,0.388241777,0.34092785200000003,3.986635654,3.3236107130000003,0.151285428,2.306284898,156.98612780000005,113.17792959999998,708.141619,9.46779293,785.2635655,17.8925013,72.86499925,11.02566039,10.77992515,85.06983941,28.01486623,2.709565988,25.87526287,537.8272216,378.7183157,2636.116893,16.07613723,4132.818421
3,3,2621,8,34.0,33.33%,17.71916062,16.41389002,16.41389002,10.1702723,4.033366177,0.563873726,0.05112042,0.042475422,0.121975421,0.211027893,0.000507207,0.0,15.77087451,30.34744009,88.60535371,4.457520907,95.8384929,4.3099592960000015,2.963084996,0.228854204,0.165871219,1.212477745,0.8904640140000001,0.015815941,2.242600518,34.88103464,46.48721212,238.6055914,4.594887476,299.1651904,5.17551214,26.76494947,4.12129146,3.785715821,21.46335749,11.86564266,0.272315858,61.45968059,78.78732392,183.1729814,826.3044481000003,5.281668751000001,1252.637952
4,4,2644,3,66.84528448,146.15%,51.15527812,48.20634469,48.64569889,22.31818629,9.399431921,1.28071756,0.07621186099999999,0.101471166,0.247752364,0.50172151,0.004861575,0.282644317,70.63726113,62.67834988,201.2488565,5.228042307,171.2159793,9.361803985,5.117851932,0.255796022,0.224622885,2.6266249530000003,2.189785972,0.099675545,1.51951319,103.4314937,74.56813209,466.5644438,6.237926742000001,517.3768196000002,10.98189243,44.72239909,6.767226914,6.616401832,52.21337196,17.19470309,1.66305212,15.88147732,330.1025718,232.44619269999995,1617.97122,9.867061448,2536.602713
5,5,2649,3,71.0,114.29%,44.22319043,32.84524767,32.84524767,20.63417041,8.339529724,1.165885143,0.105698378,0.08782367699999999,0.25220067,0.436328692,0.001048718,0.0,32.60841466,62.74743416,183.2035448,9.216526958,198.1590377,8.887307507000001,6.109999126,0.471906471,0.342033052,2.50017734,1.836172218,0.032613099,4.624331474,71.9260809,95.85848052,492.0142206,9.474840748,616.8905227000001,11.728909,60.65557348,9.339800817,8.57930871,48.64093835,26.890294,0.617130794,139.2818685,178.5503208,415.1123933,1872.597227,11.96948447,2838.767674
6,6,2660,3,99.0,230.77%,63.32913421,41.208485,37.4478144,19.14430675,10.28349214,1.437655491,0.130336899,0.108295566,0.310989192,0.538037853,0.001293176,0.0,40.20950664,77.37399678,225.90868730000003,11.36491933,244.35033790000003,11.60756305,7.980167227999999,0.616349116,0.446723624,3.265439628,2.398193692,0.042595421,6.039761662,93.94144611,125.1991513,642.611509,12.37493035,805.7103497,16.62481197,85.97453551,13.23843781,12.16049967,68.9447291,38.11489043,0.874734675,197.4211645,253.081127,588.3893789,2654.260236,16.96580889,4023.731344
7,7,2689,0,183.0,43.55%,130.7869429,92.00075807,85.30925461,86.17068638,18.80026668,2.561626264,0.152435097,0.202957477,0.495541704,1.003517901,0.009723876,0.565330819,141.2850647,125.3660544,402.5277488,10.45686489,342.4575121000001,19.63208148,10.73234243,0.5364146,0.471043272,5.508138728,4.592069723,0.209023648,3.186480598,216.9000243,156.372388,978.4045032,13.08118459,1084.96011,26.88370919,109.4805817,16.56619399,16.19697368,127.8185082,42.09269034,4.07115712,38.87790928,808.0921933,569.0290526,3960.798926,24.15459923,6209.611876
8,8,2703,3,77.0,176.92%,52.80561360000001,38.3164817,32.44834881,18.27109784,7.427770292999999,1.012069232,0.060225363,0.080186177,0.195782858,0.396478443,0.003841792,0.223355739,55.82011277,49.53069389,159.0341087,4.1313876910000005,135.30104530000003,8.078740592,4.416434932,0.220738408,0.193837643,2.266638103,1.889669219,0.086014712,1.311259338,89.25589641,64.34834532,402.6203836,5.383000121,446.4687705,10.84784327,44.17650044,6.6846235620000005,6.535639509,51.57603564,16.98481799,1.6427522719999998,15.68762195,326.073214,229.6088659,1598.2216460000002,9.746620335,2505.639974
9,9,2735,3,64.0,68.75%,39.50008851,30.69690853,25.85774569,21.21021527,6.80375654,0.951180573,0.086233404,0.071650433,0.205756441,0.35597621100000004,0.00085559,0.0,26.60338435,51.1921271,149.4655403,7.519249604,161.66689169999995,7.781833663,5.349988941,0.413206999,0.299488266,2.189185439,1.607774545,0.028556423,4.049120423,62.9793441,83.93484192,430.8135869,8.296284857,540.1567834,10.34677068,53.50790162,8.239195751,7.568320272999999,42.90907488,23.7215333,0.5444079070000001,122.8688493,157.5098948,366.1954184,1651.929781,10.55899665,2504.246398
